long,lat
2.74332,39.36754
7.16,47.47
7.17,47.42
7.01,47.49
7.45,47.32
7.19,47.35
7.17,47.31
7.14,47.28
7.2,47.33
7.07,47.34
26.7311,37.7853
26.7269,37.7789
26.7192,37.7981
28.1031,36.2578
27.2561,36.8989
26.9033,37.6961
26.9369,37.7072
26.9033,37.7197
6.38,46.56
8.13,48.66
6.56,46.61
7.28,47.42
6.25,46.6
7.84,47.32
8.4515,39.13285
8.67179,39.08819
8.603317,39.000683
8.60914,39.06572
8.72618,39.06892
8.71794,39.06529
8.66472,39.09487
8.744217,39.091933
8.731733,39.069183
8.747724,39.088415
8.71785,38.97414
8.730417,38.968565
8.70876,39.01925
27.912316,36.168713
7.83,47.38
27.0983,36.7994
7.69,46.97
7.83,47.23
8.25,47.45
8,46.94
7.51,47.38
7.32,47.41
7.54,47.41
7.6,47.41
6.9,47.37
7.79,47.27
7.58,47.43
7.88,46.91
7.96,46.94
8.06,46.86
7.86,46.87
8.45,47.25
7.65,47.39
9.8,46.77
7.57,47.46
8.37,47.27
9.17,46.69
9.16,46.76
6.38,46.73
6.51,46.73
6.69,46.77
7.96,47.08
8.24,47.11
6.8,46.77
7.8,47.38
7.48,47.42
7.96,47.06
7.68,46.97
7.61,47.08
7.77,47.15
7.6,47.06
6.92,47.13
6.84,47.09
7.63,47.48
7.81,47.04
7.75,46.9
7.91,46.97
7.99,47.28
8.05,47.55
7.96,47.1
8.77,47.47
26.1614,37.5903
26.3475,37.6781
26.9367,37.7078
7.52,47.45
7.73,47.34
7.39,47.42
7.4,47.43
6.76,47.03
7.62,47.4
7.71,47.32
7.89,47.49
7.51,47.39
8.01,46.96
7.79,46.92
7.72,46.99
8.63107,38.97898
-8.5539,38.8217
7.96,47.52
7.15,47.48
8.674,39.01022
8.6788,39.00745
8.719327,38.970112
8.71122,38.97642
8.74669,38.98073
8.63664,38.9667
8.633403,38.982717
8.70178,38.98583
7.07,47.33
26.2297,37.5878
26.3347,37.6783
6.408431,46.292944
6.637168,46.369298
6.500756,46.312687
6.42297,46.331311
6.434861,46.305883
6.588579,46.370289
6.288299,45.992555
5.859209,46.050003
6.510775,46.279447
6.706389,46.322894
3.240189,47.88733
6.533301,46.145448
6.674881,46.393499
6.817022,46.248777
5.992274,46.056182
6.054814,45.99702
5.927704,45.926224
5.852837,46.28643
6.04427,45.969316
6.325494,46.230723
6.425788,46.231541
6.319083,46.171825
6.380346,46.324958
5.571775,46.135937
5.556649,46.10538
6.421705,46.271692
6.61558,46.318224
6.344576,46.293159
6.29105,46.216264
6.552636,46.293753
6.394121,46.269429
6.610999,46.344788
6.341511,46.346339
6.728875,46.383178
6.324812,46.323334
5.14216,46.052695
-0.699025,47.14301
5.872227,46.222444
4.955444,46.539219
6.429147,47.559089
6.607109,45.947178
