long,lat
5.789587,45.966111
5.30432,44.935381
5.178477,44.873621
1.953329,45.011769
1.342642,45.072974
-0.805378,47.552015
4.26268,47.47069
4.316515,47.400911
4.565988,47.547014
5.717379,46.773733
6.049554,46.704058
5.642499,46.603347
5.556316,46.825271
5.530204,46.903182
5.80105,46.62353
6.292869,47.138023
6.211505,47.270825
6.117755,46.957367
6.200533,47.335106
5.65791,46.205927
6.505108,47.942199
5.877778,47.971061
6.412979,47.901407
5.399323,47.465813
6.750087,48.572034
5.243999,47.786529
5.305842,47.638207
5.172779,47.738982
6.207947,47.150085
6.214874,46.874163
6.211662,47.179769
6.105067,47.166353
6.402818,47.504538
6.272707,46.841711
6.54089,46.987616
6.612028,47.272827
6.29727,47.226567
4.680354,47.988793
4.848163,46.953736
4.317348,47.366946
4.66396,47.569461
3.992975,47.986869
4.232704,48.220356
4.146883,48.200643
4.960853,46.202143
5.394483,48.626917
6.156941,47.221043
6.152594,47.010276
4.679519,48.125272
5.553247,46.612577
4.37124,46.843331
4.493666,46.794923
5.2523,46.88223
6.659928,47.315485
5.651848,46.629209
6.343363,47.354129
5.501895,47.16795
3.76414,46.762913
4.621299,47.187209
4.375283,47.412025
4.235011,47.008288
4.340149,47.014942
3.53726,47.12103
4.55153,46.6598
4.74604,47.46879
4.60915,45.88248
6.34371,44.66263
6.23124,47.0711
2.12833,43.79642
6.09391,47.64435
5.77686,46.78615
5.25013,48.13506
-0.73428,43.18862
4.329152,45.964355
-0.0467,46.7323
4.315064,45.925991
-0.343209,46.83409
4.523277,47.576218
4.457127,46.987255
5.5066,46.224162
4.978043,46.498407
1.941577,44.87225
1.387901,44.569158
6.322832,48.028282
-0.292686,47.868114
0.838256,49.597572
2.915388,45.839189
-0.864255,47.80144
2.653698,45.70082
3.926448,45.655591
4.806469,46.833785
2.798311,45.87105
5.553248,46.612577
2.605548,45.597089
3.810541,44.922209
2.78645,44.159564
3.623396,44.83995
3.642922,45.908466
4.111115,46.227471
5.230922,46.634545
4.346171,45.687338
3.468227,44.910645
3.357739,45.119393
1.916279,45.158031
3.53941,44.948205
4.355614,45.159858
3.575857,45.048307
4.093534,45.256978
3.811112,45.363214
5.820396,48.017331
5.11453,45.750871
5.283584,46.274501
5.009036,46.156755
4.183504,46.910817
5.519486,46.686724
4.493667,46.794924
5.380955,46.800218
6.156941,47.221044
7.3825,47.820556
4.451544,46.192322
4.582003,46.225198
5.040184,46.367506
5.243824,46.344158
5.416412,46.274316
4.533482,46.254731
4.204695,46.41097
3.638051,45.461304
3.756586,45.555634
5.217811,46.171547
5.605526,46.717037
3.711203,46.720651
4.491834,46.646221
5.277097,46.958807
4.167754,46.473345
4.440816,46.528844
4.453862,46.721115
4.221422,46.372788
4.219449,46.730169
3.866093,46.700753
5.169871,46.62122
4.167986,45.489562
4.059704,45.36869
4.400383,45.682033
3.733396,45.032703
3.624702,45.49695
4.207826,46.547383
4.333671,46.536766
4.607738,46.64817
3.937952,46.228955
4.140994,46.969052
4.456877,46.44107
3.920639,45.616265
3.385038,45.039454
3.478637,45.557317
4.50208,45.470175
3.603789,46.659816
3.560216,46.24657
3.466261,46.80878
3.262436,45.089242
4.095569,46.742157
4.225647,46.664024
4.253737,46.870145
4.059315,45.942966
3.782961,45.306481
3.147789,45.373931
3.483114,46.137233
5.011838,46.988129
4.589035,46.761601
4.491072,46.169534
3.009041,45.539895
3.118017,45.520473
4.028253,45.219409
4.148915,45.588528
6.49129,47.523336
3.985246,45.459587
4.131846,46.276565
5.339624,46.473564
3.701779,44.848869
4.357147,46.440934
4.563479,46.310913
4.445338,46.765986
4.500913,44.992325
2.163254,46.065942
4.36205,45.319789
3.687527,45.974721
3.721868,46.058024
3.952502,46.366589
3.434174,45.94471
4.312838,45.889323
4.36266,45.592643
4.379318,45.569107
3.143327,45.176693
4.953262,46.323319
3.531935,45.546204
4.283183,45.2423
3.954131,45.274895
3.818107,45.40778
2.997545,45.787056
3.7323,47.170238
5.150816,46.41109
4.95369,46.451697
3.896667,45.555498
3.404432,45.085262
6.735688,47.1553
3.445428,45.128661
5.238124,46.501399
5.081629,46.514307
1.624085,45.355523
3.77156,45.901339
4.099818,46.832654
5.391419,46.633608
4.592278,46.726348
3.859794,45.664056
4.153209,45.354724
3.626833,45.078889
2.939131,45.616138
3.372665,45.562774
3.325654,45.646062
3.881101,45.432419
4.337318,46.108476
4.139495,44.973421
3.981086,45.187333
3.934116,45.391783
5.066395,46.461142
4.998935,46.336579
4.069975,46.367356
3.844955,45.757351
3.688593,45.673327
3.702178,46.327494
3.821489,45.135218
2.509916,47.355325
6.464022,44.814296
5.14216,46.052696
3.824971,45.69831
3.989885,44.894269
4.339731,45.265262
4.206863,46.176869
3.083254,45.284445
3.081946,45.172006
4.922841,46.268555
5.013788,46.28216
3.262396,45.324474
3.48058,45.517784
3.760281,45.134503
3.56376,45.083887
3.853279,45.331675
-0.695867,46.093312
3.714227,45.2289
3.842668,46.238488
4.096753,45.739305
3.688226,45.782656
3.508864,45.923123
3.630959,45.736795
5.052219,46.871086
5.102189,46.557088
4.125931,46.199377
3.928064,46.593901
3.541185,45.758184
5.299776,46.805576
5.084171,46.934101
5.023855,46.556664
5.288128,46.923343
5.791615,46.705168
3.825221,47.289038
3.996267,45.252195
2.7586,45.288014
5.598687,45.43738
4.567304,47.051067
2.811522,44.722663
4.706183,46.503932
4.279608,46.667931
4.030037,44.227602
4.670342,45.812521
4.480672,46.354678
4.699341,46.641699
3.155283,46.077072
4.07679,46.2166
5.290149,46.548314
6.6953,48.4886
3.356637,45.612376
3.439799,45.381062
2.97969,44.931044
4.867145,46.146629
4.665643,46.243333
5.124797,45.911158
5.292619,46.067214
5.071594,45.929001
4.736492,46.378327
5.338005,46.543002
2.765923,45.89677
4.998188,46.21684
4.803467,46.096085
5.468253,46.917337
5.031128,45.564106
3.92451,45.915725
3.007494,45.991293
3.457628,45.050408
3.119567,45.42468
3.140952,45.460131
2.764311,44.519234
3.844389,44.849442
4.241022,45.968366
2.593567,46.734841
4.003988,45.131124
3.454398,45.478569
3.990426,45.818654
3.442981,45.194288
2.435415,45.432162
3.95509,44.993571
5.528619,46.446489
4.184152,45.19198
3.860162,45.080165
2.43259,44.513212
